"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1641.98314685456","1425.38674264425","839.572030619909","791.646996856456","855.081041706631","928.092497400516","989.64234410298","1031.09825975826","1116.90719322937","1166.18796268474","1249.61213037405","1385.04479530641","1582.05762307417","1815.78822609055","2018.46014266053","2312.98286338693","2636.25665053529","3019.46556331841","3250.49861389456","2810.19284300486","2889.56623073412","3043.26278883538","3278.67045101985","3402.08385754089","3538.52939541716","3666.14182536082","3689.83008540677","3985.91670188717","4215.89939814463","4561.96780299386","4256.13123162961","4522.31904517941","5111.3700275117",
"American Samoa","ASM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12804.4358444426","12980.7222956862","13105.1690778892","13136.4800805944","12690.5291104991","13029.6162843735","12795.0245577508","12378.1701945665","12532.3111237111","12656.6881389142","12247.6352882148","12098.2751505435","12494.9802110307","13101.5418159165","13116.4309769201","12442.8576653719","13049.3301536176","13288.3565565116","14303.6270325756","14396.3685581274","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","5400.58325928089","5618.7465999122","6046.40926549427","6511.66277959622","6740.65174628264","6718.98528820777","7060.23527120705","7783.38175635573","8418.77129229691","9435.14689370455","10116.4772771084","10705.5954270543","11329.1481410366","11727.1092924402","11924.7388744863","11871.6584152776","12275.3959242182","12853.283788342","12054.6163013293","12592.9995890606","13017.211571059","13378.7153617669","13639.9959349697","14247.973013193","13392.9817167531","13358.8143713235","14010.8490580853","14656.292617304","15423.8000243913","17163.3978251358","18505.7906655862","18228.6491331364","15804.4451442561","14367.9514959487","13918.5965270244","14232.9695942318","14015.8793149044","14427.4069090612","14861.8827074704","15570.9040636643","15962.7288681322","16957.632679588","17599.9687156255","14433.8797969677","15288.4378783717","16485.441643494",
"Australia","AUS","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","19948.0299707141","20040.5231053417","19810.5180802084","20642.2599690594","21653.9778423325","22503.6236128227","22518.9305978013","23638.4628228828","24408.1941767159","25586.7144472764","26887.8022588836","27034.1121218906","27579.5818105083","27872.5997595009","28292.045510313","28319.2965903255","28762.5772732208","29462.7184467784","29382.1890839102","30243.5783753583","30784.1120576982","31319.1653283251","31804.2690137935","30674.1086414944","31699.7211930522","32931.2981889946","33745.7631454891","34086.9309013088","35464.4084170809","36220.4175471372","36964.6724453489","36356.6948688231","36106.0132708728","37234.6823143663","38345.8761177348","39395.2107437299","40420.9794120627","41550.5510955641","43036.3234245713","44677.8946490841","45892.6103705542","46232.0382470989","47534.5452094921","48453.013800548","49959.0724111333","50911.1341449746","51605.3146015121","52586.4093896127","53382.3100594756","53271.5901893686","53606.5814449061","54131.1047090858","55269.9192801293","55727.7341473215","56318.6359789436","56708.96119674","57354.5498137682","57701.5238528086","58479.5035467805","58868.4806341229","58115.9306675109","59339.6843453605","60797.9586475866",
"Austria","AUT","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","12051.1511700385","12648.9746969392","12904.669883596","13352.6511315776","14076.2761631952","14471.8213231195","15181.5887613761","15521.8096470115","16132.0095204536","17085.3299659169","18101.9919477322","18943.1811467755","20002.5561105758","20864.8474583279","21650.4867976498","21629.0463028275","22659.317777419","23801.2675449624","23770.3662432365","25086.400193858","25520.74055574","25419.0096476102","25911.6609400039","26725.1907228527","26740.5772417596","27395.8726479906","28008.5545890344","28370.7178819139","29264.3235778252","30265.1932308117","31340.6812927165","32097.2410936755","32410.53977326","32313.7118722637","32962.8174189767","33790.4849857504","34537.7395746518","35220.8877426259","36442.2882333384","37664.9432792116","38842.8905195831","39184.8085972636","39636.4826114521","39815.2219533064","40651.2266155811","41281.2707559522","42496.3510516831","43937.7128905744","44440.055889928","42655.1921304813","43334.5089644691","44451.0001918473","44549.881698231","44299.3781845446","44245.1687398338","44195.8175947748","44590.2516278164","45281.723399938","46154.6250956541","46647.0809634335","43455.7000665738","45238.3907144733","47043.3432250759",
"Azerbaijan","AZE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820.84060264249","2764.07448297747","2107.29715734236","1596.13294833696","1264.52741314043","1102.49808532554","1105.58743809287","1158.48186278375","1262.29211067698","1343.85617669456","1480.80895297437","1614.84914412315","1754.13555198582","1918.61137675397","2077.88563846517","2631.85191889281","3501.16544505944","4327.11437101674","4693.07791082125","5023.96818024328","5215.20507790333","5152.8394150109","5194.92183666706","5426.09690251674","5506.18267114344","5500.50462041954","5270.7390991554","5229.71081603592","5262.36963669485","5348.45413572489","5083.56115475155","5345.44081113132","5571.73282660707",
"Burundi","BDI","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","290.733232271528","244.593410120795","260.162382716525","265.339863383952","274.074489977432","277.187951401737","283.142082310625","314.293254398904","306.075142200917","295.263604556321","350.712778110779","351.872350595104","329.603110959624","353.073650538424","342.024209668216","336.217191717079","355.185953917057","386.191747870115","371.953871737858","369.187423862405","357.68313401787","385.295278318176","371.997223965983","375.677006285755","367.266232529241","401.767206722938","407.117326283023","419.856053883367","431.437298019521","428.971415245068","435.070942938272","447.744857160703","440.5918566545","427.068997896676","408.419316106411","354.116180808509","325.911916294316","321.089690627872","330.128930617295","319.135800696165","310.006710871337","308.645198980277","313.486405813416","300.086152909749","303.119669951449","294.73877332416","299.769120757144","298.936660358474","300.8413491772","296.847094808669","297.791727029962","299.017175601783","301.481319230891","305.290835173922","307.765531235991","289.359627144769","282.975966520504","277.959802992581","274.131908412723","270.137277342414","263.360988638729","264.364832869577","262.18480604632",
"Belgium","BEL","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","11734.306170839","12277.6347194523","12866.2287658556","13326.1132693154","14118.902318486","14489.4450965924","14846.0973473565","15334.7678862416","15915.1956538995","16922.3543777831","17849.4947135456","18527.1487401867","19432.03103295","20607.1809135777","21480.261317053","20997.2068325293","22144.5236139589","22255.6844094244","22866.8232310329","23381.1272443226","24393.2981775195","24325.8132752066","24477.1998826276","24555.480969759","25161.4909793831","25569.4893301131","26026.2804981502","26603.9280981301","27772.0520454683","28631.3190930238","29441.6621481593","29870.1477747077","30204.5637515713","29797.4063198776","30664.3078546408","31329.892072751","31681.9363634502","32804.3605402361","33376.5748398965","34479.9064484695","35674.7912530713","35943.2379602838","36393.2417665704","36617.3803840227","37761.2813189981","38426.0519083731","39147.7635597291","40290.2277563956","40151.8498740394","39025.2207908291","39777.9252767366","39929.0951439359","39975.5736402458","39970.3174974794","40421.4207919096","41008.296719472","41318.0196388476","41825.7628316432","42382.3182763247","43107.214821718","40620.1042151159","42971.0580381855","44075.8614379326",
"Benin","BEN","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","657.218941491879","667.519708604398","634.185933002888","652.908959849851","684.006879033662","706.99567587546","718.412241856907","712.09036099357","724.801236685859","730.561746855476","730.523347660325","704.458103043764","733.570984360378","744.028810804743","751.663718572786","698.485150741872","688.039909695753","704.787862504977","695.880995411084","722.399496351707","750.960006875057","803.165084045422","798.268239517295","742.119327170863","778.29144834276","812.948320289191","806.540433864701","771.161155410515","773.846974425043","729.408784018925","771.075863965352","779.423309019057","778.255268210274","787.819118694931","774.262921871822","804.350332973365","817.849735178722","839.951696664448","847.074487472901","865.45256246753","888.730184630442","908.347702993908","922.417638739881","925.849261137358","938.038178110083","924.269524085112","931.76914087973","959.55499346646","977.303163181198","970.96596893412","962.816109525733","962.744589699509","980.074613212459","1020.52823405078","1054.10876660986","1041.65252315982","1045.1509365758","1072.36196622085","1111.22724012239","1153.72620998081","1164.70896658457","1214.07758989942","1255.60729259079",
"Burkina Faso","BFA","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","243.930505544525","250.156278104255","261.624327166995","254.473938045432","256.312297711592","261.74246139386","258.889877366503","277.091312117421","280.780249426317","281.606365872997","277.116830835771","276.300448136818","277.939872880513","274.346714003505","291.630502941855","294.487871821985","312.927578061045","306.900564477927","313.173820468073","316.370110841218","310.472576936734","315.016342731686","335.801318237811","327.595560482512","312.624170051328","329.569993756944","345.877431430545","335.766934598194","345.848563209096","344.090366521527","333.171594857928","354.321888407803","346.507269040963","349.701976113836","345.481702638702","355.987941119358","385.229199915305","399.184999788397","416.741699707944","434.658392247963","429.847372234013","444.549754898262","449.853931217898","470.129582557846","476.00998088482","501.207250170085","516.176767684268","521.345259221456","535.583644699205","535.516834543859","563.92677673407","583.67947712875","602.786758854118","618.804583250393","626.62625081522","632.126685840944","650.417260919683","671.25179629345","696.044570851281","716.012197407328","710.471355105153","739.672724915489","731.642932594845",
"Bangladesh","BGD","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","441.447951642675","454.778804211043","465.414576560509","449.565283797325","484.042114392482","477.308987037593","475.221945151534","452.497699211907","480.796373276062","472.840195567658","487.028307700694","454.724466919094","385.707939048198","388.462775456581","415.201697638125","388.884587373873","401.86430382462","403.324789937252","421.762949986108","431.757939050703","424.809718555976","443.775241394611","440.960541126462","445.545846436963","454.522264559811","457.842960632283","465.726335440733","472.625756062528","473.682148995127","476.879412217548","493.095074760365","500.493821974164","518.109845907665","532.252722156776","542.454448935042","559.689233048224","574.835821891908","590.002791194728","609.013565298411","625.363856656426","646.037766238482","666.067758185949","678.867511823949","698.732088588378","723.227841549678","758.889976464615","799.781478168863","847.2819518792","890.296171016292","927.018090820831","967.561084882888","1017.62773519535","1070.59516844779","1120.68533925027","1173.89300498245","1236.00439770048","1307.73233342295","1376.60346975864","1460.30423385385","1557.96433416698","1593.34740671711","1684.43348669953","1784.7388872872",
