"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87000000","57000000","176000000","143000000","93000000","68000000","57000000","63000000","70000000","79000000","100000000","201000000","317000000","382000000","545000000","792000000","1500000000","2634000000","2618000000","2713000000","2535000000","2855000000","3214000000","2830000000","2004099975.58594","340000000","","",
"Burundi","BDI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2424994.23027039","2141381.02531433","1440071.82121277","1299999.95231628","1200000.04768372","1399999.97615814","899999.976158142","1600000.02384186","1200000.04768372","1799999.95231628","1899999.97615814","1600000.02384186","2299999.95231628","1600000.02384186","1700000.04768372","2099999.90463257","3700000.04768372","","","","","","","","","","","",
"Belgium","BEL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8304000000","7598000000","8848000000","10089000000","10881000000","11625000000","12369000000","","12718000000","12680000000","14114000000","13704000000","14534000000","15249000000","8975000000","8784000000","9636000000","10319000000","10581000000","7447000000","","",
"Benin","BEN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79099998.4741211","56200000.7629395","64199996.9482422","94400001.5258789","77400001.5258789","85500000","94500000","107900001.525879","120900001.525879","107699996.948242","121599998.474121","206300003.051758","236399993.896484","131399993.896484","149399993.896484","201000000","174000000","193000000","153000000","148000000","129000000","160000000","175000000","240860000.610352","","","",
"Burkina Faso","BFA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000000","25000000","37000000","38000000","52000000","46000000","55000000","61000000","82000000","99000000","105000000","116000000","128000000","200000000","183000000","152000000","172000000","172000000","179000000","173000000","","","",
"Bangladesh","BGD","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59000000","59000000","76000000","82000000","","","","77000000","103000000","97000000","105000000","131000000","154000000","150300003.051758","214300003.051758","348000000","357000000","391000000","217899993.896484","","",
"Bulgaria","BGR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","662000000","541000000","517000000","1150000000","1184000000","1364000000","1262000000","1392000000","2051000000","2796000000","3063000000","3317000000","4181000000","4852000000","4273000000","3807000000","4297000000","3975000000","4410000000","4518000000","3568000000","4148000000","4663000000","5061000000","4832000000","1792000000","","",
"Bahrain","BHR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","593000000","589000000","578000000","625000000","785000000","854000000","886000000","985000000","1206000000","1504000000","1603000000","1786000000","1854000000","1927000000","1873000000","2163000000","1766000000","1752000000","1875000000","1913000000","2827000000","4021000000","4380000000","3834000000","3860000000","724000000","","",
"Bahamas, The","BHS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1356000000","1409000000","1427000000","1365000000","1598000000","1753000000","1665000000","1773000000","1770000000","1897000000","2081000000","2066000000","2198000000","2155000000","2025000000","2159000000","2157000000","2333000000","2305000000","2336000000","2554000000","3091000000","2951000000","3756000000","4150000000","1007000000","","",
"Bosnia and Herzegovina","BIH","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257000000","258000000","246000000","279000000","307000000","404000000","507000000","557000000","658000000","804000000","913000000","753000000","662000000","722000000","686000000","752000000","755000000","794000000","875000000","984000000","1147000000","1225000000","438000000","","",
